"indiv.1","indiv.2","mean.overlap","mean.distance","group","type","group.size","experiment.type"
"900200000279820","982000359237334",0.259502944362537,1.4026097156805,"4","vuelo grupal/sin sonido",4,"Regular"
"900200000279820","982126051278475",0.162346601203855,2.66615466458498,"4","vuelo grupal/sin sonido",4,"Regular"
"900200000279820","982126058484339",0.12482433467056,2.84508431402719,"4","vuelo grupal/sin sonido",4,"Regular"
"982000359237334","982126051278475",0.376346519484873,1.38828997531536,"4","vuelo grupal/sin sonido",4,"Regular"
"982000359237334","982126058484339",0.0472533444929004,2.50265077413495,"4","vuelo grupal/sin sonido",4,"Regular"
"982126051278475","982126058484339",0.204760271644175,2.50543784010685,"4","vuelo grupal/sin sonido",4,"Regular"
"982126051278491","982126051278521",0.476994899969345,0.943101099527139,"GM23","vuelo grupos mixtos",4,"Artificial"
"982126051278491","982126052945904",0.206835028135549,2.09113991066809,"GM23","vuelo grupos mixtos",4,"Artificial"
"982126051278491","982126058484292",0.422152391476475,1.03777101831275,"GM23","vuelo grupos mixtos",4,"Artificial"
"982126051278521","982126052945904",0.161604434581864,2.67749145613313,"GM23","vuelo grupos mixtos",4,"Artificial"
"982126051278521","982126058484292",0.360984937194169,1.48937655452849,"GM23","vuelo grupos mixtos",4,"Artificial"
"982126052945904","982126058484292",0.346031798644748,1.35984390139073,"GM23","vuelo grupos mixtos",4,"Artificial"
"900200000206443","900200000206710",0.0934849185705204,2.52015913172194,"15","vuelo grupal/sin sonido",3,"Regular"
"900200000206443","982126058484259",0.137383484935326,2.74756018550145,"15","vuelo grupal/sin sonido",3,"Regular"
"900200000206710","982126058484259",0.245470579114522,2.13913607649162,"15","vuelo grupal/sin sonido",3,"Regular"
"982126052945896","982126057846184",0.383137958306839,1.47179521079054,"GM31","vuelo grupos mixtos",2,"Artificial"
"982000359237615","982126051278504",0.0852694344189776,3.09572321229212,"3","vuelo grupal/sin sonido",5,"Regular"
"982000359237615","982126051278529",0.0877795786258485,2.35452191895992,"3","vuelo grupal/sin sonido",5,"Regular"
"982000359237615","982126051278564",0.144072162424269,2.35670193156618,"3","vuelo grupal/sin sonido",5,"Regular"
"982000359237615","982126052945896",0.340792335391938,1.69589490865028,"3","vuelo grupal/sin sonido",5,"Regular"
"982126051278504","982126051278529",0.238138945238334,1.38879820567516,"3","vuelo grupal/sin sonido",5,"Regular"
"982126051278504","982126051278564",0.296601732317608,1.63116827242234,"3","vuelo grupal/sin sonido",5,"Regular"
"982126051278504","982126052945896",0.266947845927023,1.813845045856,"3","vuelo grupal/sin sonido",5,"Regular"
"982126051278529","982126051278564",0.240356083189558,2.09517019033681,"3","vuelo grupal/sin sonido",5,"Regular"
"982126051278529","982126052945896",0.512358871708384,0.978743287198254,"3","vuelo grupal/sin sonido",5,"Regular"
"982126051278564","982126052945896",0.251057196533906,1.89715186212403,"3","vuelo grupal/sin sonido",5,"Regular"
"982126058484287","982126058484305",0.280306632049014,1.58675592754144,"GM28","vuelo grupos mixtos",2,"Artificial"
"900200000279818","982126051278521",0.445929880264829,1.08522087048181,"6","vuelo grupal/sin sonido",5,"Regular"
"900200000279818","982126058484263",0.533118413742904,0.787936829539544,"6","vuelo grupal/sin sonido",5,"Regular"
"900200000279818","982126058484300",0.0587429715723269,3.06312488647362,"6","vuelo grupal/sin sonido",5,"Regular"
"900200000279818","982126058484349",0.376459798061512,1.29775715119778,"6","vuelo grupal/sin sonido",5,"Regular"
"982126051278521","982126058484263",0.389704368967641,1.04598737209398,"6","vuelo grupal/sin sonido",5,"Regular"
"982126051278521","982126058484300",0.129474624439506,2.20638422617987,"6","vuelo grupal/sin sonido",5,"Regular"
"982126051278521","982126058484349",0.274528011433399,1.77323922578746,"6","vuelo grupal/sin sonido",5,"Regular"
"982126058484263","982126058484300",0.159902306282987,2.80614726118674,"6","vuelo grupal/sin sonido",5,"Regular"
"982126058484263","982126058484349",0.472460487227791,1.01098189080748,"6","vuelo grupal/sin sonido",5,"Regular"
"982126058484300","982126058484349",0.0706557825360744,3.22076775051031,"6","vuelo grupal/sin sonido",5,"Regular"
"900200000279533","900200000279817",0.506967035029597,0.997305153830685,"4/11/N/N/N","vuelo grupal/sin sonido",5,"Regular"
"900200000279533","982126058484272",0.431798327601981,1.42824350571575,"4/11/N/N/N","vuelo grupal/sin sonido",5,"Regular"
"900200000279533","982126058484295",0.0825866388728163,2.05375532577814,"4/11/N/N/N","vuelo grupal/sin sonido",5,"Regular"
"900200000279533","982126058484337",0.580587127606668,0.6395795895719,"4/11/N/N/N","vuelo grupal/sin sonido",5,"Regular"
"900200000279817","982126058484272",0.413786830540244,1.93546740634929,"4/11/N/N/N","vuelo grupal/sin sonido",5,"Regular"
"900200000279817","982126058484295",0.0854136496491316,2.39328400922098,"4/11/N/N/N","vuelo grupal/sin sonido",5,"Regular"
"900200000279817","982126058484337",0.565336883632734,1.00959419193548,"4/11/N/N/N","vuelo grupal/sin sonido",5,"Regular"
"982126058484272","982126058484295",0.267200503091722,1.64027448927982,"4/11/N/N/N","vuelo grupal/sin sonido",5,"Regular"
"982126058484272","982126058484337",0.501112287404257,1.22603351411378,"4/11/N/N/N","vuelo grupal/sin sonido",5,"Regular"
"982126058484295","982126058484337",0.363297812964113,1.94758539192706,"4/11/N/N/N","vuelo grupal/sin sonido",5,"Regular"
"900200000206691","982126058484254",0.130015866928575,2.43894415545928,"18-A-B","vuelo grupal/sin sonido",3,"Regular"
"900200000206691","982126058484287",0.326881187305168,1.21176303879685,"18-A-B","vuelo grupal/sin sonido",3,"Regular"
"982126058484254","982126058484287",0.287403994593822,2.61339375858545,"18-A-B","vuelo grupal/sin sonido",3,"Regular"
"982000359237615","982126058484254",0.538511790097525,0.976030890713593,"GM29","vuelo grupos mixtos",3,"Artificial"
"982000359237615","982126058484295",0.278810135248199,0.782828903557588,"GM29","vuelo grupos mixtos",3,"Artificial"
"982126058484254","982126058484295",0.260390020177879,1.38180096435087,"GM29","vuelo grupos mixtos",3,"Artificial"
"900200000279490","900200000279633",0.204469086904086,2.42271789463579,"12/12/N/N","vuelo grupal/sin sonido",4,"Regular"
"900200000279490","982126058484262",0.28077856863742,1.7227209687555,"12/12/N/N","vuelo grupal/sin sonido",4,"Regular"
"900200000279490","982126058484346",0.358199167879509,1.0051998594115,"12/12/N/N","vuelo grupal/sin sonido",4,"Regular"
"900200000279633","982126058484262",0.521279529440627,0.945348514865367,"12/12/N/N","vuelo grupal/sin sonido",4,"Regular"
"900200000279633","982126058484346",0.142400412972358,2.79422554917843,"12/12/N/N","vuelo grupal/sin sonido",4,"Regular"
"982126058484262","982126058484346",0.257729627671727,2.0828879242795,"12/12/N/N","vuelo grupal/sin sonido",4,"Regular"
"900200000279490","982126058484262",0.247059080803818,1.75454365239284,"12/NN","vuelo grupal/sin sonido",3,"Regular"
"900200000279490","982126058484346",0.360128856761845,0.913546899046274,"12/NN","vuelo grupal/sin sonido",3,"Regular"
"982126058484262","982126058484346",0.240324818962056,2.20048124800173,"12/NN","vuelo grupal/sin sonido",3,"Regular"
"982126057846152","982126057846167",0.014163387303926,2.90547841390626,"MP257","vuelo grupal/sin sonido",2,"Regular"
"900200000279790","982126058484291",0.209638596307177,2.5660446647591,"6/?","vuelo grupal/sin sonido",2,"Regular"
"982126051278501","982126052945887",0.0565535378019765,3.20543458737128,"22","vuelo grupal/sin sonido",4,"Regular"
"982126051278501","982126052945893",0.00259214602358426,3.80860506890761,"22","vuelo grupal/sin sonido",4,"Regular"
"982126051278501","982126058484282",0.522165114958919,1.29051143960239,"22","vuelo grupal/sin sonido",4,"Regular"
"982126052945887","982126052945893",0.171735229961234,2.27646227120126,"22","vuelo grupal/sin sonido",4,"Regular"
"982126052945887","982126058484282",0.363419300173998,2.00554733437411,"22","vuelo grupal/sin sonido",4,"Regular"
"982126052945893","982126058484282",0.0672461324625595,3.0736910203895,"22","vuelo grupal/sin sonido",4,"Regular"
"982126051278476","982126057846152",0.499355208633254,0.82116488455843,"GM25","vuelo grupos mixtos",3,"Artificial"
"982126051278476","982126058484275",0.123930177161685,2.30658666351463,"GM25","vuelo grupos mixtos",3,"Artificial"
"982126057846152","982126058484275",0.0350303445358974,2.80499340419985,"GM25","vuelo grupos mixtos",3,"Artificial"
"900200000206691","982126058484254",0.10829282493066,2.28128709345428,"18","vuelo grupal/sin sonido",3,"Regular"
"900200000206691","982126058484287",0.312475506380377,1.39211130542357,"18","vuelo grupal/sin sonido",3,"Regular"
"982126058484254","982126058484287",0.236974226229326,2.48853008336787,"18","vuelo grupal/sin sonido",3,"Regular"
"900200000206691","982126057846215",0.0301441758220389,3.27432497557222,"GM30","vuelo grupos mixtos",2,"Artificial"
"900200000279422","982126051278491",0.40888149155502,1.31480041251554,"1","vuelo grupal/sin sonido",3,"Regular"
"900200000279422","982126052945890",0.228783258135828,1.858411466065,"1","vuelo grupal/sin sonido",3,"Regular"
"982126051278491","982126052945890",0.333362710294311,1.78729194805333,"1","vuelo grupal/sin sonido",3,"Regular"
"900200000279415","900200000279519",0.125573666177342,2.18055281040246,"9","vuelo grupal/sin sonido",4,"Regular"
"900200000279415","982126051278549",0.161644722493541,1.70235791326308,"9","vuelo grupal/sin sonido",4,"Regular"
"900200000279415","982126058484290",0.395636432181957,1.43593884143097,"9","vuelo grupal/sin sonido",4,"Regular"
"900200000279519","982126051278549",0.143436258666524,0.850088366933103,"9","vuelo grupal/sin sonido",4,"Regular"
"900200000279519","982126058484290",0.44944927015512,1.00756830616006,"9","vuelo grupal/sin sonido",4,"Regular"
"982126051278549","982126058484290",0.350645632643802,0.617362957406316,"9","vuelo grupal/sin sonido",4,"Regular"
"900200000279470","900200000279506",0.315831450332227,0.950709459308416,"13","vuelo grupal/sin sonido",8,"Regular"
"900200000279470","900200000279517",0.047413818289977,3.95373581794459,"13","vuelo grupal/sin sonido",8,"Regular"
"900200000279470","900200000279779",0.0647229592721259,1.43292561144266,"13","vuelo grupal/sin sonido",8,"Regular"
"900200000279470","982126051278470",0.118943310719796,2.86187470767531,"13","vuelo grupal/sin sonido",8,"Regular"
"900200000279470","982126051278494",0.0414417089199935,3.78438347788467,"13","vuelo grupal/sin sonido",8,"Regular"
"900200000279470","982126057845067",0.236610651202076,2.44942883275569,"13","vuelo grupal/sin sonido",8,"Regular"
"900200000279470","982126058484335",0.657384574193003,0.701723077813507,"13","vuelo grupal/sin sonido",8,"Regular"
"900200000279506","900200000279517",0.0570544108869021,3.13466124516177,"13","vuelo grupal/sin sonido",8,"Regular"
"900200000279506","900200000279779",0.038296432447171,1.1506799077887,"13","vuelo grupal/sin sonido",8,"Regular"
"900200000279506","982126051278470",0.232382087805011,1.98836332990919,"13","vuelo grupal/sin sonido",8,"Regular"
"900200000279506","982126051278494",0.0317647800870702,3.11439361359945,"13","vuelo grupal/sin sonido",8,"Regular"
"900200000279506","982126057845067",0.399221846507834,1.58085711157755,"13","vuelo grupal/sin sonido",8,"Regular"
"900200000279506","982126058484335",0.135508892485101,1.5597798455898,"13","vuelo grupal/sin sonido",8,"Regular"
"900200000279517","900200000279779",0.10936769840231,2.8284062148168,"13","vuelo grupal/sin sonido",8,"Regular"
"900200000279517","982126051278470",0.379973721044323,1.37996881923432,"13","vuelo grupal/sin sonido",8,"Regular"
"900200000279517","982126051278494",0.384097349966415,1.15259495816247,"13","vuelo grupal/sin sonido",8,"Regular"
"900200000279517","982126057845067",0.352623048471339,2.3317232562896,"13","vuelo grupal/sin sonido",8,"Regular"
"900200000279517","982126058484335",0.00835665216026831,4.49494263092467,"13","vuelo grupal/sin sonido",8,"Regular"
"900200000279779","982126051278470",0.336671344973379,2.01013965007718,"13","vuelo grupal/sin sonido",8,"Regular"
"900200000279779","982126051278494",0.0938087365532935,2.45447901755603,"13","vuelo grupal/sin sonido",8,"Regular"
"900200000279779","982126057845067",0.213539360849669,2.19163018173336,"13","vuelo grupal/sin sonido",8,"Regular"
"900200000279779","982126058484335",0.00193462759845651,1.77400551797487,"13","vuelo grupal/sin sonido",8,"Regular"
"982126051278470","982126051278494",0.267196891684714,1.82888360196638,"13","vuelo grupal/sin sonido",8,"Regular"
"982126051278470","982126057845067",0.390343735781596,1.21612933060054,"13","vuelo grupal/sin sonido",8,"Regular"
"982126051278470","982126058484335",0.0120959438993821,3.45203295642051,"13","vuelo grupal/sin sonido",8,"Regular"
"982126051278494","982126057845067",0.304404219597878,2.83362285797999,"13","vuelo grupal/sin sonido",8,"Regular"
"982126051278494","982126058484335",5.05703278690312e-06,4.21486607843591,"13","vuelo grupal/sin sonido",8,"Regular"
"982126057845067","982126058484335",0.0453299889761093,3.10461952128753,"13","vuelo grupal/sin sonido",8,"Regular"
"982126052945834","982126052945858",0.25572437095538,0.716878895503944,"GX","vuelo grupal/sin sonido",4,"Regular"
"982126052945834","982126057846182",0.379178564292755,1.03340648999115,"GX","vuelo grupal/sin sonido",4,"Regular"
"982126052945834","982126058484279",0.400068414917001,0.839442801461519,"GX","vuelo grupal/sin sonido",4,"Regular"
"982126052945858","982126057846182",0.403078956210264,0.900974670481842,"GX","vuelo grupal/sin sonido",4,"Regular"
"982126052945858","982126058484279",0.482547808556794,0.622211771020867,"GX","vuelo grupal/sin sonido",4,"Regular"
"982126057846182","982126058484279",0.452538065089548,1.08630476390071,"GX","vuelo grupal/sin sonido",4,"Regular"
"900200000206430","982126051278540",0.0945009925025419,2.2709549334221,"40","vuelo grupal/sin sonido",3,"Regular"
"900200000206430","982126052945921",0.0600765350464912,3.02664676580338,"40","vuelo grupal/sin sonido",3,"Regular"
"982126051278540","982126052945921",0.170105428629114,1.97966450620001,"40","vuelo grupal/sin sonido",3,"Regular"
"982126052945887","982126057845083",0.151488134600507,2.31551857335566,"A2021","vuelo grupal/sin sonido",3,"Regular"
"982126052945887","982126058484282",0.325899580706135,2.05812045128749,"A2021","vuelo grupal/sin sonido",3,"Regular"
"982126057845083","982126058484282",0.457761656995521,0.837974435337523,"A2021","vuelo grupal/sin sonido",3,"Regular"
"900200000206430","982126051278551",0.208948194940869,1.74518516963951,"B2021","vuelo grupal/sin sonido",4,"Regular"
"900200000206430","982126052945877",0.0518021909465686,3.32326295541516,"B2021","vuelo grupal/sin sonido",4,"Regular"
"900200000206430","982126057846223",0.0838789263637875,2.01795109954512,"B2021","vuelo grupal/sin sonido",4,"Regular"
"982126051278551","982126052945877",0.00744406634677459,4.95144497498269,"B2021","vuelo grupal/sin sonido",4,"Regular"
"982126051278551","982126057846223",0.0217412550996673,3.53779778655903,"B2021","vuelo grupal/sin sonido",4,"Regular"
"982126052945877","982126057846223",0.0404656661221529,1.49571123244253,"B2021","vuelo grupal/sin sonido",4,"Regular"
"982126057846174","982126057846203",0.165867801501209,2.35671172403427,"GP2","vuelo grupal/sin sonido",4,"Regular"
"982126057846174","982126057846216",0.354864253799174,1.4605978317184,"GP2","vuelo grupal/sin sonido",4,"Regular"
"982126057846174","982126057846239",0.334850090951038,1.82927701361904,"GP2","vuelo grupal/sin sonido",4,"Regular"
"982126057846203","982126057846216",0.000615728577342657,3.73089642240516,"GP2","vuelo grupal/sin sonido",4,"Regular"
"982126057846203","982126057846239",0.0526332464068092,2.8266028798021,"GP2","vuelo grupal/sin sonido",4,"Regular"
"982126057846216","982126057846239",0.280112931239973,2.05413606445752,"GP2","vuelo grupal/sin sonido",4,"Regular"
"sin tag 10","sin tag 11",0.273092557310366,1.5062743345116,"GP7","vuelo grupal/sin sonido",5,"Regular"
"sin tag 10","sin tag 12",0.451181208661258,0.999786715873017,"GP7","vuelo grupal/sin sonido",5,"Regular"
"sin tag 10","sin tag 13",0.156013864061205,1.9657581268215,"GP7","vuelo grupal/sin sonido",5,"Regular"
"sin tag 10","sin tag 9",0.437424630620261,1.44731880093364,"GP7","vuelo grupal/sin sonido",5,"Regular"
"sin tag 11","sin tag 12",0.355216933509528,1.42101739523073,"GP7","vuelo grupal/sin sonido",5,"Regular"
"sin tag 11","sin tag 13",0.259697796562447,1.46270416296592,"GP7","vuelo grupal/sin sonido",5,"Regular"
"sin tag 11","sin tag 9",0.135866798618617,1.85590109383217,"GP7","vuelo grupal/sin sonido",5,"Regular"
"sin tag 12","sin tag 13",0.328316939268535,1.27406261822932,"GP7","vuelo grupal/sin sonido",5,"Regular"
"sin tag 12","sin tag 9",0.419930233563134,0.818601710748439,"GP7","vuelo grupal/sin sonido",5,"Regular"
"sin tag 13","sin tag 9",0.249357906008181,1.17076924994032,"GP7","vuelo grupal/sin sonido",5,"Regular"
